product_code,device_name,device_class,medical_specialty,medical_specialty_description,regulation_number,definition,gmp_exempt_flag,submission_type_id
PVQ,Rickettsia Spp. Nucleic Acid Based Detection Assay,2,MI,Microbiology,866.3316,"An in vitro diagnostic test for the detection of Rickettsia spp. nucleic acids in specimens from individuals with signs or symptoms of rickettsial infection and epidemiological risk factors consistent with potential exposure. Test results are used in conjunction with other diagnostic assays and clinical observations to aid in the diagnosis infection, in accordance with criteria defined by the appropriate public health authorities in the Federal government.",N,1
GQM,"Antisera, Neutralization, Herpesvirus Hominis",2,MI,Microbiology,866.3305,,N,1
HRK,"Table, Instrument, Manual, Ophthalmic",1,OP,Ophthalmic,886.4855,,Y,4
FPK,"Tubing, Fluid Delivery",2,HO,General Hospital,880.5440,,N,1
RIQ,Low Emission Leds As Indicators Or Decorations,N,,Unknown,,"Finished LED products intended to act as an indicator or for decorative purposes, such as Christmas tree lights or display backlighting. LED product only intending to emit visible radiation at low intensities.",Y,
JZJ,"Prealbumin, Antigen, Antiserum, Control",1,IM,Immunology,866.5060,,N,4
QZA,Body Temperature Sensing Software,2,HO,General Hospital,880.2915,Body temperature sensing software is a software device used for the determination of human body temperature by means of analyzing input sensor data.,N,1
RDO,Microwave Lan,N,,Unknown,,A machine that utilizes microwave radiation for communication and data transmission in a local area network.,Y,
LLB,"System, Blood, Extracorporeal And Accessories",2,GU,"Gastroenterology, Urology",876.5820,,N,1
IKX,"Aid, Transfer",1,PM,Physical Medicine,890.5050,,Y,4
JKL,"Acid, Delta-Aminolevulinic, Ion-Exchange Columns With Colorimetry",1,CH,Clinical Chemistry,862.1060,,N,4
MDA,"Elastomer, Silicone, For Scar Management",1,SU,"General, Plastic Surgery",878.4025,,N,4
ORR,"Neurological Stereotaxic Instrument, Real-Time Intraoperative Mri",2,NE,Neurology,882.4560,To aid the surgeon in planning and conducting general stereotactic neurosurgery in an MRI suite.,N,1
FAX,"Bougie, Urological",1,GU,"Gastroenterology, Urology",876.5520,,N,4
MBX,"Stimulator, Thalamic, Epilepsy, Implanted",3,,Unknown,,,N,3
EKZ,"Unit, Electrosurgical, And Accessories, Dental",2,DE,Dental,872.4920,,N,1
HTJ,"Gauge, Depth",1,OR,Orthopedic,888.4300,,N,4
RCW,Materials Processing,N,,Unknown,,A machine that utilizes microwave radiation for industry drying/heating of non-food products (non-dielectric heater rf sealers),Y,
OTX,Foot Wrap For Treating Restless Leg Syndrome Symptoms,1,PM,Physical Medicine,890.5760,Applying compression to the muscles of the foot for the purpose of affecting nerve impulses sent to the central nervous system.,N,4
FFQ,"Speculum, Rectal",1,GU,"Gastroenterology, Urology",876.4730,,N,4
BWN,"Table And Attachments, Operating-Room",1,SU,"General, Plastic Surgery",878.4950,,N,4
EXI,"Device, Paste-On For Incontinence, Sterile",1,GU,"Gastroenterology, Urology",876.5250,,N,4
DIJ,"Lead, Delta Amino Levulinic Acid",2,TX,Clinical Toxicology,862.3550,,N,1
IXR,"Table, Radiographic, Tilting",2,RA,Radiology,892.1980,,N,4
MJC,"Catheter, Urological (Antimicrobial) And Accessories",2,GU,"Gastroenterology, Urology",876.5130,,N,1
DDL,"Thyroglobulin, Rhodamine, Antigen, Antiserum, Control",2,IM,Immunology,866.5870,,N,1
OEM,Human Metapneumovirus (Hmpv) Rna Assay System,2,MI,Microbiology,866.3980,A qualitative in vitro diagnostic assay intended to detect human metapneumovirus (hmpv) rna extracted from human respiratory specimens or viral cultures. Detection of hmpv rna aids in the diagnosis of respiratory hmpv infection in conjunction with other clinical and laboratory testing in patients exhibiting signs and symptoms of upper respiratory tract infections.,N,1
RFJ,Process Control,N,,Unknown,,"A laser used for inspection, counting, or other application intended to monitor a part of the manufacturing process in an industrial or commercial environment.  Often incorporated in an automated process system.",Y,
QJR,"Reagents, 2019-Novel Coronavirus Nucleic Acid",N,,Unknown,,Nucleic acid-based in vitro diagnostic devices for the detection of 2019-novel coronavirus (2019-nCoV) and/or diagnosis of 2019-nCoV infection in human clinical specimens.,N,8
GTP,"Exoenzymes, Multiple, Streptococcal",1,MI,Microbiology,866.3720,,N,4
NOG,"Topographer, Corneal, Battery Powered",1,OP,Ophthalmic,886.1350,"Topographer, corneal, battery powered",Y,4
LDS,"Device, Pasteurization, Hot Water",2,HO,General Hospital,880.6991,,N,4
CAE,"Airway, Oropharyngeal, Anesthesiology",1,AN,Anesthesiology,868.5110,,N,4
PCN,Immunoglobulin G Kappa Heavy And Light Chain Combined,2,IM,Immunology,866.5510,Intended for the in-vitro quantification of IgG kappa concentration in human serum.,N,1
DTQ,"Console, Heart-Lung Machine, Cardiopulmonary Bypass",2,CV,Cardiovascular,870.4220,,N,1
RIC,Ultrasonic Cutter,N,,Unknown,,Equipment used to cut objects in commercial or industrial applications.,Y,
PAG,"Mesh, Surgical, Non-Synthetic, Urogynecologic, For Stress Urinary Incontinence, Retropubic Or Transobturator",2,SU,"General, Plastic Surgery",878.3300,Transvaginal surgical repair of female stress urinary incontinence (SUI) due to intrinsic sphincter deficiency (ISD) and/or urethral hypermobility.,N,1
IQA,"System, Environmental Control, Powered",2,PM,Physical Medicine,890.3725,,N,4
KIJ,"Instrument, Surgical, Orthopedic, Dc-Powered Motor And Accessory/Attachment",1,SU,"General, Plastic Surgery",878.4820,,N,4
OQL,"Mesh, Surgical, Deployment Balloon",2,SU,"General, Plastic Surgery",878.3300,The device is intended to be used to facilitate the delivery of soft tissue prosthetics during the laparoscopic repair of hernias.,N,1
HDA,"Forceps, Obstetrical",2,OB,Obstetrics/Gynecology,884.4400,,N,4
FFD,"Evacuator, Bladder, Manually Operated",1,GU,"Gastroenterology, Urology",876.4370,,N,4
HDX,"Dilator, Vaginal",2,OB,Obstetrics/Gynecology,884.3900,,N,1
MDL,"Implant, Transmandibular",2,DE,Dental,872.4760,,N,1
KTX,"Prosthesis, Knee, Femorotibial, Non-Constrained, Metal/Composite Cemented",2,OR,Orthopedic,888.3490,,N,1
RFQ,Interferometric Position Measuring Product,N,,Unknown,,A laser used as an interferometer for high precision positioning and/or measurements.,Y,
LLE,"Stimulator, Spinal-Cord, Implanted For Peripheral Vascular Disease",3,,Unknown,,,N,3
FIB,"Protector, Transducer, Dialysis",2,GU,"Gastroenterology, Urology",876.5820,,N,1
FXG,Specula Accessories,1,SU,"General, Plastic Surgery",878.1800,,N,4
FCY,"Bulb, Inflation, For Endoscope",1,GU,"Gastroenterology, Urology",876.1500,An endoscope bulb pressurizes the interior of an endoscope. The user identifies the presence of leaks in the endoscope by immersing in water and visually observing for bubbles.,N,4
DNI,"Liquid Chromatography, Amphetamine",2,TX,Clinical Toxicology,862.3100,,N,1
NAW,Microspheres Radionuclide,3,,Unknown,,Approved PMA:  P990065,N,2
OHR,Catheter Care Tray,2,GU,"Gastroenterology, Urology",876.5130,"This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.Fda.Gov/cdrh/ode/convkit.Html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
JZW,Nephelometer,1,IM,Immunology,866.4540,,N,4
QBX,Direct Blood Bacterial Nucleic Acid Detection System,2,MI,Microbiology,866.3960,"Amplification, detection and identification of microbial pathogens directly from whole blood specimens",N,1
RHC,"High Pressure Mercury, Metal Halide, And Mercury Xenon Lamp (Not For General Purpose Illumination)",N,,Unknown,,"A high pressure mercury vapor, metal halide, or mercury xenon lamp used for a specific purpose and not intended for general purpose illumination.  Specific examples are lamps used in scientific and industrial equipment, projection televisions and computer projectors, searchlights, etc.",Y,
HCB,"Device, Aversive Conditioning",2,NE,Neurology,882.5235,,N,1
JSC,"Culture Media, General Nutrient Broth",1,MI,Microbiology,866.2350,,N,4
OGO,Intraocular Pressure Lowering Implant,3,,Unknown,,An intraocular pressure lowering implant is a device intended to reduce intraocular pressure when implanted in eyes which have not failed conventional medical and surgical treatment.,N,2
OWP,Biological Sterilization Process Indicator With Recombinant-Dna Plasmid,2,HO,General Hospital,880.2805,A Recombinant-DNA plasmid biological indicator is intended for use by a health care provider to accompany products being sterilized through a sterilization procedure and to monitor adequacy of sterilization.,N,1
PMJ,Cpr Aid Feedback Device (No Software),2,CV,Cardiovascular,870.5210,"Provides real-time feedback to the rescuer regarding the quality of CPR being delivered to the victim, and provides either audio and/or visual information to encourage the rescuer to continue the consistent application of effective manual CPR in accordance with current accepted CPR guidelines",N,4
GML,"Antisera, Fluorescent, Histoplasma Capsulatum",2,MI,Microbiology,866.3320,,N,4
QIZ,"Material, Implantable For Controlled Release, Cder Or Cber Led",N,,Unknown,,Implantable material for controlled release of drug substance.,N,3
OJQ,Cardiac Allograft Gene Expression Profiling Test System,2,CV,Cardiovascular,862.1163,"In vitro diagnostic multivariate index assay (ivdmia) test service, performed in a single laboratory, for assessing the gene expression profile of rna isolated from peripheral blood mononuclear cells (pbmc) and indicated for use to aid in the identification of heart transplant recipients with stable allograft function who have a low probability of moderate/severe acute cellular rejection (acr) at the time of testing in conjunction with standard clinical assessment.",N,1
GGG,Guaiac Reagent,2,HE,Hematology,864.6550,,N,1
KTD,"Orthosis, Abdominal",1,PM,Physical Medicine,890.3490,,Y,4
HYL,Hematoxylin Mayer'S,1,HE,Hematology,864.1850,,Y,4
QAI,Powered Microneedle Device,2,SU,"General, Plastic Surgery",878.4430,A powered microneedle device is a device using one or more needles to mechanically puncture and injure skin tissue for aesthetic use.,N,1
HGX,"Pump, Breast, Powered",2,OB,Obstetrics/Gynecology,884.5160,,N,1
FHN,"Ligator, Hemorrhoidal",2,GU,"Gastroenterology, Urology",876.4400,,N,4
HHW,"Pessary, Vaginal",2,OB,Obstetrics/Gynecology,884.3575,,N,1
QRQ,Non-Irrigation Endosseous Dental Implant Drill Bits,1,DE,Dental,872.3980,The device is intended to prepare the site for placement of endosseous dental implants.  It is to be used at a low speed without irrigation.,N,4
OOG,Knee Arthroplasty Implantation System,2,OR,Orthopedic,888.3560,"Intended to be used to assist in the implantation of a specific knee arthroplasty device or a set of specific knee arthroplasty devices.  Indicated to include guiding alignment, making or establishing cuts, selecting, sizing, attaching, positioning or orienting implant components.",N,1
RHK,"Laser Marker Or Engraver, Industrial Or Commercial",N,,Unknown,,"A laser intended to mark or engrave an object with text, logos, etc. Using either a mask or a scanned laser beam.",Y,
HDN,"Dilator, Cervical, Expandable",3,OB,Obstetrics/Gynecology,884.4250,Call for PMAs to be filed by 12/26/96 per 61 FR 50708 on 9/27/96,N,2
FON,"Bag, Drainage, With Adhesive, Ostomy",1,GU,"Gastroenterology, Urology",876.5900,,N,4
GDT,"Staple, Removable (Skin)",1,SU,"General, Plastic Surgery",878.4760,,N,4
FJC,"Detector, Blood Level",2,GU,"Gastroenterology, Urology",876.5820,,N,1
OTA,Mass Spectrometer For Clinical Multiplex Test Systems,2,CH,Clinical Chemistry,862.2570,A mass spectrometer for clinical multiplex test systems is a device that is intended to measure and sort multiple signals generated by an assay from a clinical sample.  The generated signals are produced by ionizing the compound or biological material under investigation and separating the resulting ions by means of an electrical and magnetic field according to their mass-to-charge ratios.  This instrumentation is used with specific assays to comprise an assay test system to measure multiple analytes of a similar chemical nature.,N,4
GCD,"Connector, Catheter",1,SU,"General, Plastic Surgery",878.4200,,N,4
QFB,Isocapnic Ventilation Device,2,HO,General Hospital,868.5480,"An isocapnic ventilation device is a prescription device used to administer a blend of carbon dioxide and oxygen gases to a patient to induce hyperventilation. This device may be labeled for use with breathing circuits made of reservoir bags (21 CFR 868.5320), oxygen cannulas (21 CFR 868.5340), masks (21 CFR 868.5550), valves (21 CFR 868.5870), resuscitation bags (21 CFR 868.5915), and/or tubing (21 CFR 868.5925).",N,1
PJI,Severe Combined Immunodeficiency Disorder (Scid) Newborn Screening Test System,2,IM,Immunology,866.5930,A newborn screening test for severe combined immunodeficiency (SCID) intended for the detection of T-cell receptor excision circle (TREC) genomic DNA isolated from newborn blood specimens dried on filter paper.  It is intended as an aid in screening newborns for severe combined immunodeficiency (SCID).,N,1
QSS,Hiv Self-Tests,3,,Unknown,,Human immunodeficiency virus (HIV) self-tests are intended for use by an individual to test themselves for the presence of HIV in body fluids.,N,2
QQB,Prognostic Test For Assessment Of Liver Related Disease Progression,2,CH,Clinical Chemistry,862.1622,"prognostic test for assessment of liver related disease progression is intended to measure one or more analytes obtained from human samples as an aid in assessing progression of liver related disease. This device is not intended for diagnosis of any disease, for monitoring the effect of any therapeutic product, for assessing progression to hepatocellular carcinoma, or for assessing disease progression in individuals with viral hepatitis. It is also not intended for the detection of viruses, viral antigens, or antibodies to viruses.",N,1
PVO,Lumbar Drainage Catheter Kit,2,NE,Neurology,882.5550,"This product code has been established in accordance with the May 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at http://www.fda.gov/downloads/MedicalDevices/DeviceRegulationandGuidance/GuidanceDocuments/ucm080217.pdf.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
LIA,"Antigens, All Groups, Shigella Spp.",2,MI,Microbiology,866.3660,,N,4
JDO,"Device, Fixation, Proximal Femoral, Implant",2,OR,Orthopedic,888.3030,,N,1
CEX,"Chromatographic Separation, Lactate Dehydrogenase Isoenzymes",2,CH,Clinical Chemistry,862.1445,,N,4
SEU,Peripheral Temporary And Retrievable Stent System,2,CV,Cardiovascular,870.5110,A peripheral temporary and retrievable stent system is a temporary scaffold placed into the peripheral vasculature via a delivery catheter system for treating stenotic lesions. The device is designed to be retrieved and removed following successful treatment.,N,1
CHW,"Titrimetric With Edta And Indicator, Calcium",2,CH,Clinical Chemistry,862.1145,,N,1
MJJ,"Cpb Check Valve, Retrograde Flow, In-Line",2,CV,Cardiovascular,870.4400,,N,1
DRK,"Dc-Defibrillator, High Energy, (Including Paddles)",3,CV,Cardiovascular,870.5300,PMA to be filed by 12/26/96 (FR 50706 (9/27/96)),N,2
MTP,"Antibody To Htlv-1, Elisa",3,,Unknown,,,N,3
NHF,"Monitor, Orthotic/Prosthetic",1,PM,Physical Medicine,890.3025,"A monitor, orthotic/prosthetic is a non-invasive, battery-powered, data storage accessory device that is attached to or embedded in medical appliances such as splints, braces, orthotics, prosthetics, and wearable exercise devices, to record how often the appliance is worn, through the use of sensors that record changes in temperature, motion, skin proximity, etc.",Y,4
KJL,Azure C,1,HE,Hematology,864.1850,,Y,4
NLQ,Single-Use Reprocessed Ultrasonic Surgical Instruments,U,,Unknown,,"Single-use reprocessed versions of the ultrasonic devices used in surgical procedures either for fragmentation, emulsification and aspiration of soft tissue and hard tissue or for ligation of vessels (under product code LFL). Reprocessing validation data for this device type must be included in a 510(k) submission.. (70 FR 56911, available at https://www.govinfo.gov/content/pkg/FR-2005-09-29/pdf/05-19510.pdf).",N,1
NKA,"System, Documentation, Breast Lesion",2,OB,Obstetrics/Gynecology,884.2990,A Breast lesion documentation device is a device for recording and documenting palpable breast lesions detected during a clinical breast exam.,N,1
LNS,"Lithotriptor, Extracorporeal Shock-Wave, Urological",2,GU,"Gastroenterology, Urology",876.5990,,N,1
OHH,Breast Pump Kit,2,OB,Obstetrics/Gynecology,884.5160,"This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.Fda.Gov/cdrh/ode/convkit.Html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
ESD,"Hearing Aid, Air-Conduction, Prescription",1,EN,"Ear, Nose, Throat",874.3300,An air-conduction hearing aid is a wearable sound amplifying device intended to compensate for impaired hearing that conducts sound to the ear through the air. This is a prescription hearing aid.,N,4
LWA,"Prosthesis, Ligament, Ptfe",3,,Unknown,,,N,2
QMW,Coronary Artery Disease Risk Indicator From Acoustic Heart Signals,2,CV,Cardiovascular,870.1420,"A coronary artery disease risk indicator using acoustic heart signals is a device that records heart sounds including murmurs and vibrations to calculate a patient-specific risk of presence of coronary artery disease, as an aid in cardiac analysis and diagnosis.",N,1
HHN,Cleidoclast,2,OB,Obstetrics/Gynecology,884.4500,,N,1
GCM,"Endoscope, Rigid",2,GU,"Gastroenterology, Urology",876.1500,,N,1
KKY,"Material, Polytetrafluoroethylene Vitreous Carbon, For Maxillofacial Reconstruction",2,SU,"General, Plastic Surgery",878.3500,,N,1
KGC,"Tube, Gastro-Enterostomy",2,GU,"Gastroenterology, Urology",876.5980,,N,1
LAM,"High Pressure Liquid Chromatography, Quinine",1,TX,Clinical Toxicology,862.3750,,N,1
KCW,"Epilator, High Frequency, Needle-Type",1,SU,"General, Plastic Surgery",878.5350,,N,4
PTW,"System, Peritoneal, Automatic Delivery, Exempt",2,GU,"Gastroenterology, Urology",876.5630,"This product code is the class II exempt counterpart of FKX, and was exempted, subject to the limitations of exemption, under the procedures established by the 21st Century Cures Act. This device type does not require premarket notification (510(k)) to market if it does not exceed the general limitations of exemption found in 21 CFR 876.9 and the specific limitations of exemption as stated in the Physical State field of this product code description.",N,4
GTL,"Phages, Staphylococcal Typing, All Types",1,MI,Microbiology,866.2050,,N,4
HCJ,"Device, Skin Potential Measurement",2,NE,Neurology,882.1560,,N,4
DQT,"Occluder, Catheter Tip",2,CV,Cardiovascular,870.1370,,N,1
MLQ,"Inhibitor, Peridural Fibrosis (Adhesion Barrier)",3,,Unknown,,,N,2
MDU,"Antigen, Elisa, Cryptococcus",2,MI,Microbiology,866.3165,,N,4
NDH,"Nail, Fixation, Bone, Metallic",2,OR,Orthopedic,888.3030,,N,1
FXO,"Suit, Surgical",1,SU,"General, Plastic Surgery",878.4040,,N,4
FZC,"Prosthesis, Arterial Graft, Bovine Carotid Artery",3,,Unknown,,,N,2
GQC,"Antisera, Cf, Equine Encephalitis Virus, Eee, Wee",1,MI,Microbiology,866.3240,,N,4
DCF,"Albumin, Antigen, Antiserum, Control",2,IM,Immunology,866.5040,,N,4
NKQ,"Guidewire, Catheter, Reprocessed",2,CV,Cardiovascular,870.1330,"Reprocessing validation data for this device type must be included in a 510(k) submission. (70 FR 56911, available at https://www.govinfo.gov/content/pkg/FR-2005-09-29/pdf/05-19510.pdf).",N,1
FMR,"Device, Transfer, Patient, Manual",1,HO,General Hospital,880.6785,,Y,4
IWK,"Cyclotron, Medical",2,RA,Radiology,892.5050,,N,1
IGN,"Fluid, Bouin'S",1,PA,Pathology,864.4010,,Y,4
QOJ,"Apparatus, Suction, Operating-Room, Wall Vacuum Powered (Export Only)",N,,Unknown,,Intended to be used for the removal of prosthetic breast implant specimens.,N,3
LTA,"Fluid, Hysteroscopy",3,,Unknown,,,N,2
ODF,"Mini Endoscope, Gastroenterology-Urology",2,GU,"Gastroenterology, Urology",876.1500,"To examine and perform procedures in body cavities of the GI and GU tract.    If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",N,1
FCT,"Headlight, Fiberoptic Focusing",2,OP,Ophthalmic,886.4335,,N,4
NMA,"Tube, Tracheal, Reprocessed",2,AN,Anesthesiology,868.5730,"Reprocessing validation data for this device type must be included in a 510(k) submission. (70 FR 56911, available at https://www.govinfo.gov/content/pkg/FR-2005-09-29/pdf/05-19510.pdf).",N,1
HZM,"Hematoxylin, Acid, Phosphotungstic",1,HE,Hematology,864.1850,,Y,4
MWH,Pulmonic Valved Conduit,f,,Unknown,,,N,6
OBB,"Kit, Conception-Assist, Home Use",2,OB,Obstetrics/Gynecology,884.5250,"The kit is intended for assisted insemination in situations in which low sperm count , sperm immobility, or hostile vaginal environment have been diagnosed.  The kit is used for semen collection and placement into the bowl of a cervical cap as an aid to conception.  It is to be used at home following physician instruction.  The Cap should not be left in place for more than 6 hours.  The kit consists of:  conception (cervical) caps; 3 polyurethane condoms; 24 ovulation predictors; 3 pregnancy test kits; 3 ""sperm friendly"" moisturizer samples (Pre Lubricant); 1 conception journal; 1 instruction manual; 2 conception wheels (1 in English and 1 in French); 1 medical provider envelope.",N,1
MNV,"Strip, Dialysate Ph Indicator",2,GU,"Gastroenterology, Urology",876.5820,,N,1
OEI,Drainage Catheter With Antibiotic,2,SU,"General, Plastic Surgery",878.4780,A tubular drain made from silicone or similar material and is coated with a silver containing material and is intended to drain fluids from body cavities using gravity drainage or attached to a suction pump.,N,1
NLM,"Laparoscope, General & Plastic Surgery, Reprocessed",2,GU,"Gastroenterology, Urology",876.1500,"The ""Endoscope and accessories, reprocessed"" is intended to provide access, illumination, and allow observation or manipulation of body cavities, hollow organs, and canals.  This device is indicated for reuse/reprocessing. Reprocessing validation data for this device type must be included in a 510(k) submission. (70 FR 56911, available at https://www.govinfo.gov/content/pkg/FR-2005-09-29/pdf/05-19510.pdf).",N,1
PVB,"Test, Codeine, Employment And Insurance Testing, Exempt",2,TX,Clinical Toxicology,862.3270,"The codeine test is an in vitro diagnostic test for the qualitative analysis of codeine for employment and insurance testing.    FDA has exempted these devices from the premarket notification requirement by publishing in the Federal Register of July 11, 2017 (82 FR 31976) available at https://www.federalregister.gov/documents/2017/07/11/2017-14453/medical-devices-exemptions-from-premarket-notification-class-ii-devices subject to the limitations under 21 CFR XXX.9, where XXX refers to Parts 862-892, and any limitations on the exemption described in (82 FR 31976).  Any device that exceeds the limitations found in 21 CFR sections 862.9 to 892.9 or identified in the Federal Register  (82 FR 31976) available at https://www.federalregister.gov/documents/2017/07/11/2017-14453/medical-devices-exemptions-from-premarket-notification-class-ii-devices is required to submit a premarket notification submission (510(k)) to FDA before introducing a device into interstate commerce.  If a manufacturers device is exempt from the premarket notification requirement, then a premarket notification submission and FDA clearance is not required before marketing the device in the U.S. however, manufacturers are required to meet all other requirements under the Federal Food Drug & Cosmetic and implementing regulations including (but not limited to) registration and listing requirements. Please see the Device Registration and Listing website for additional information on registration and listing.",N,4
NRB,"Wound Cleaner, Ultrasound",2,SU,"General, Plastic Surgery",878.4410,The ultrasound wound cleaner/mild debridement system is a device that delivers a cleaning fluid to the wound that is pulsed using low power ultrasound radiation.  The device is intended to clean and mildly debride wounds.  The ultrasound generator must deliver 1.0 mw/cm2 or less energy to the wound,N,1
FAB,"Replacer, Ureteral",3,,Unknown,,,N,2
LHL,"Reagents, Antibody, Legionella, Direct & Indirect Fluorescent",2,MI,Microbiology,866.3300,,N,4
QCF,Electrical Tongue Stimulator To Treat Motor Deficits,2,NE,Neurology,882.5889,An electrical tongue nerve stimulator to treat motor deficits is a prescription device that consists of a non-implantable apparatus to generate electrical pulses for stimulation of the nerves in the tongue to provide treatment of motor deficits.,N,1
QFJ,Intravascular Bleed Monitor,2,CV,Cardiovascular,870.1345,"An intravascular bleed monitor is a probe, catheter, or catheter introducer that measures changes in bioimpedance and uses an algorithm to detect or monitor progression of potential internal bleeding complications.",N,1
JGI,"Atomic Absorption, Magnesium",1,CH,Clinical Chemistry,862.1495,,N,1
OZZ,Bordetella Pertussis Dna Assay System,2,MI,Microbiology,866.3980,A qualitative in vitro diagnostic assay intended to detect Bordetella pertussis DNA extracted from human respiratory specimens. Detection of Bordetella pertussis DNA aids in the diagnosis of Bordetella pertussis respiratory infection in conjunction with other clinical and laboratory testing in patients exhibiting signs and symptoms of upper respiratory tract infection.,N,1
QVL,Absorbable Gel For Intraoperative Use In Spine Surgery,2,OR,Orthopedic,888.3047,This device is an absorbable gel implant for intraoperative use in spinal procedures that is applied to nerve roots after hemostasis has been achieved and prior to closure. The device is intended as an adjunct to the surgical procedure to reduce pain and neurological symptoms.,N,1
CZQ,"Bence-Jones Protein, Antigen, Antiserum, Control",2,IM,Immunology,866.5150,,N,1
OJX,Drug Eluting Permanent Left Ventricular (Lv) Pacemaker Electrode,3,,Unknown,,Drug eluting permanent lv pacemaker electrodes are used with compatible cardiac rhythm therapy (crt) devices to deliver pacing pulses to the heart.,N,2
GTC,"Antisera, All Types, Klebsiella Spp.",1,MI,Microbiology,866.3340,,N,4
JFQ,"P-Phenyl-Enediamine/Edta (Spectrophotometric), Ceruloplasmin",2,IM,Immunology,866.5210,,N,4
BRW,"Protector, Dental",1,AN,Anesthesiology,868.5820,,N,4
DDN,"Beta-2-Glycoprotein I, Antigen, Antiserum, Control",1,IM,Immunology,866.5430,,N,4
KPR,"System, X-Ray, Stationary",2,RA,Radiology,892.1680,,N,1
GZC,"Stimulator, Neuromuscular, Implanted",3,NE,Neurology,882.5860,Call for PMAs to be filed by 7/13/99 per 64 FR 18329 on 4/14/99,N,2
DIE,Heavy Metals Control Materials,1,TX,Clinical Toxicology,862.3280,,N,4
HKY,"Tonometer, Manual",2,OP,Ophthalmic,886.1930,,N,1
PTS,"Endoscopic Grasping/Cutting Instrument, Non-Powered, Exempt",2,GU,"Gastroenterology, Urology",876.1500,"This product code is the class II exempt counterpart of OCZ, and was exempted, subject to the limitations of exemption, under the procedures established by the 21st Century Cures Act. This device type does not require premarket notification (510(k)) to market if it does not exceed the general limitations of exemption found in 21 CFR 876.9 and the specific limitations of exemption as stated in the Physical State field of this product code description.",N,4
HLT,"Preamplifier, Ac-Powered, Ophthalmic",2,OP,Ophthalmic,886.1640,,N,1
ETR,"Adaptor, Short Increment Sensitivity Index (Sisi)",1,EN,"Ear, Nose, Throat",874.1070,,N,4
PFX,"System, Microarray-Based, Genome-Wide, Postnatal Chromosomal Abnormality Detection",2,IM,Immunology,866.5920,"A microarray-based, genome-wide, postnatal chromosomal abnormality detection system is used to qualitatively detect constitutional gains and losses in chromosomal copy numbers across the human genome using microarray methods.  It is intended as an aid in the postnatal diagnosis of developmental delay and/or intellectual disability (DD/ID), congenital anomalies, and dysmorphic features in conjunction with other clinical information currently used in postnatal diagnosis.  It is not intended to be used for standalone diagnostic purposes, prenatal or pre-implantation testing or screening, population screening, or for the detection of, or screening for, acquired or somatic genetic aberrations.",N,1
DYT,"Maintainer, Space Preformed, Orthodontic",1,DE,Dental,872.5525,,N,4
PAS,"Rf/Microwave Hyperthermia System, Cancer Treatment",f,,Unknown,,Used in conjunction with radiation therapy for the treatment of cervical carcinoma patients who normally would be treated with combined chemotherapy and radiation but are ineligible for chemotherapy due to patient related factors.,N,6
PBP,Rectal Insert,2,GU,"Gastroenterology, Urology",876.5980,Acts as a barrier to the passage of fecal matter through the rectum.,N,1
PJK,Tissue Adhesive For Internal Use,3,SU,"General, Plastic Surgery",878.4010,Approximation of tissue layers where subcutaneous dead space exists between the tissue planes in abdominoplasty.,N,2
NNX,"Device, Incontinence, Urosheath Type, Non-Sterile",1,GU,"Gastroenterology, Urology",876.5250,Urine collector and accessories; see product code EXJ,Y,4
RBH,Projector,N,,Unknown,,Electronic products that use a cathode ray tube or several cathode ray tubes to generate television images which are projected on a screen either from the front or from the rear.,Y,
QYK,Semi-Automated Autologous Skin Graft Harvesting And Application Device,2,SU,"General, Plastic Surgery",878.4795,A semi- automated autologous skin graft harvesting and application device is a handheld electromechanical surgical instrument that extracts autologous skin graft tissue from a healthy donor skin site and deposits it to a recipient site. The device extraction and deposition functions are automated and are activated by the user. The device is not intended for treatment of third degree burns.,N,1
LNR,"System, Photopheresis, Extracorporeal",3,,Unknown,,,N,2
QQY,Culture Plate Imaging System For Qualitative Assessment Of Resistant Organisms,2,MI,Microbiology,866.2190,Culture plate imaging system for qualitative assessment of resistant organisms is an automated system to assess the presence or absence of colony growth on solid chromogenic culture media.,N,1
NPE,"Material, Embolization, Neurovascular, Polymerizing Or Precipitating",3,,Unknown,,This is an neurovascular embolization device which is placed in a blood vessel to permanently obstruct blood flow to an aneurysm or other vascular malformation.  It is unlike the coil or particulate embolization devices in that it polymerizes or precipitates in situ.  Particulate or coil-based embolic agents are delivered in pre-formed shapes and configurations.,N,2
MOM,"System, Hemodynamic, Implantable",3,,Unknown,,,N,2
