product_code,device_name,device_class,medical_specialty,medical_specialty_description,regulation_number,definition,gmp_exempt_flag,submission_type_id
QON,Implanted Electrical Device Intended For Treatment Of Fecal Incontinence,3,GU,"Gastroenterology, Urology",876.5270,Treatment of chronic fecal incontinence,N,2
GDC,"Table, Operating-Room, Electrical",1,SU,"General, Plastic Surgery",878.4960,,N,4
GRG,"Antiserum, Hai, Rubeola",1,MI,Microbiology,866.3520,,N,4
QYI,"Ablation Catheter, Renal Denervation",3,,Unknown,,For denervating the renal nerves to lower blood pressure,N,2
NJW,"Control Material, Her-2/Neu, Immunohistochemistry",2,HE,Hematology,864.1860,Accessory to immunohistochemistry assays for Her2-neu.  Control material intended for laboratory use to control Her2-neu immunohistochemistry assays.,N,1
QUO,Adjunctive Heart Failure Status Indicator,2,CV,Cardiovascular,870.2200,The adjunctive heart failure status indicator is a prescription device based on sensor technology or image data to provide information to an interpreting clinician in detecting heart failure. This device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.,N,1
QVD,Radiological Machine Learning Based Quantitative Imaging Software With Change Control Plan,2,RA,Radiology,892.2055,"A radiological machine learning quantitative imaging software with predetermined change control plan is a software-only device which employs machine learning algorithms on radiological images to provide quantitative imaging outputs. The device includes  functions to support outputs such as view selection, segmentation and landmarking. The design specifications include planned modifications that may be made to the device consistent with an established predetermined change control plan.",N,1
LQD,"Recorder, Attention Task Performance",U,,Unknown,,,N,1
KZP,"Solution, Cement Dissolving",2,DE,Dental,872.3750,,N,1
FEZ,"Catheter And Tube, Suprapubic",2,GU,"Gastroenterology, Urology",876.5090,,N,1
OXZ,Pediatric/Child Facemask,2,SU,"General, Plastic Surgery",878.4040,"A pediatric/child facemask is intended to be worn by the patient/child to provide protection for the respiratory tract.   It is a single use, disposable device that is provided non-sterile.   The facemask is recommended for use in a healthcare setting with appropriate adult supervision.",N,1
KAM,"Cannula, Sinus",1,SU,"General, Plastic Surgery",878.4800,,N,4
DGK,"Igg, Fitc, Antigen, Antiserum, Control",2,IM,Immunology,866.5510,,N,1
MZI,"Test, Qualitative, For Hla, Non-Diagnostic",U,,Unknown,,,N,1
LHG,"Electrode, Spinal Epidural",2,NE,Neurology,882.5880,,N,1
MNL,"Accessories, Cleaning Brushes, For Endoscope",1,GU,"Gastroenterology, Urology",876.1500,,N,4
LZM,"Guard, Skin Graft",1,SU,"General, Plastic Surgery",878.4014,,N,4
IJZ,"Oil, Clearing",1,PA,Pathology,864.4010,,Y,4
KSO,"Centrifuge, Blood-Bank For In Vitro Diagnostic Use",1,HE,Hematology,864.9275,,N,4
OJR,Vacuum Powered Body Fluid Collection Kit,2,SU,"General, Plastic Surgery",878.4780,"This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
PKK,Stent Delivery System,N,,Unknown,,For coarctation of the aorta,N,3
QQJ,"Applicator, Negative Pressure, External, Ocular",2,OP,Ophthalmic,886.5000,External ocular negative pressure system. An external ocular negative pressure system uses hardware and software to create negative pressure in front of the eye to temporarily lower intraocular pressure in glaucoma patients.,N,1
GZF,"Stimulator, Peripheral Nerve, Implanted (Pain Relief)",2,NE,Neurology,882.5870,,N,1
QOL,Electroencephalography (Eeg)-Driven Upper Extremity Powered Exerciser,2,NE,Neurology,890.5420,An EEG-driven upper extremity powered exerciser is a non-invasive prescription device intended for rehabilitation by driving movement or exercise of an impaired upper extremity in response to the detection of purpose oriented electrical activity produced by the patient's brain.,N,1
CZO,"Inter-Alpha Trypsin Inhibitor, Antigen, Antiserum, Control",1,IM,Immunology,866.5890,,N,4
DXJ,"Display, Cathode-Ray Tube, Medical",2,CV,Cardiovascular,870.2450,,N,1
GOA,"Antisera, Cf, Adenovirus 1-33",1,MI,Microbiology,866.3020,,N,4
DJG,"Enzyme Immunoassay, Opiates",2,TX,Clinical Toxicology,862.3650,,N,1
OYF,Aspiration Therapy System,3,,Unknown,,Percutaneous gastric implant to remove stomach contents after eating for weight loss in the treatment of obesity in adults,N,2
KDA,"Prosthesis, Ptfe/Carbon-Fiber",2,SU,"General, Plastic Surgery",878.3500,,N,1
JSX,"Kit, Identification, Neisseria Gonorrhoeae",1,MI,Microbiology,866.2660,,N,4
EFH,"Paper, Articulation",1,DE,Dental,872.6140,,Y,4
IEH,"Lamps, Slide Warming",1,PA,Pathology,864.3010,,Y,4
NIQ,Coronary Drug-Eluting Stent,3,,Unknown,,"Stent, coronary, drug-eluting -- a metal scaffold with a drug coating placed via a delivery catheter into the coronary artery or saphenous vein graft to maintain the lumen.  The drug coating is intended to inhibit restenosis.",N,2
QQS,"Stapler, Skin",1,HO,General Hospital,878.4740,A surgical stapler for external use is a specialized prescription device used to deliver compatible staples to skin during surgery.,N,4
MPA,Endoilluminator,2,GU,"Gastroenterology, Urology",876.1500,,N,1
PWL,Oral Surgery Tray,1,DE,Dental,872.4565,"This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at http://www.fda.gov/downloads/MedicalDevices/DeviceRegulationandGuidance/GuidanceDocuments/ucm080217.pdf.This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
FKO,"Catheter, Peritoneal Dialysis, Single Use",2,GU,"Gastroenterology, Urology",876.5630,,N,1
LPZ,"Container, Frozen Donor Tissue Storage",U,,Unknown,,,N,1
NEU,"Marker, Radiographic, Implantable",2,SU,"General, Plastic Surgery",878.4300,,N,1
NST,"Autoantibodies, Acetylcholine Receptor, Acetylcholine Blocking And Non-Blocking",2,IM,Immunology,866.5660,"THE DEVICE IS AN IMMUNOASSAY INDICATED AS AN AID IN THE DIAGNOSIS OF MYASTHENIA GRAVIS, AN AUTOIMMUNE DISEASE CHARACTERIZED BY EXERCISE-INDUCED MUSCLE WEAKNESS TEMPORARILY RELIEVED BY CESSATION OF EXERCISE. AUTOANTIBODY, WHEN PRESENT IN SERUM, INTERFERES WITH THE BINDING OF ACETYLCHOLINE, A NEURAL TRANSMITTER AT THE JUNCTION OF NERVES WITH MUSCLES. AUTOANTIBODY CAN ALSO BIND TO OTHER PORTIONS OF THE ACETYLCHOLINE RECEPTOR WITHOUT INTERFERING WITH ACETYLCHOLINE BINDING. PRESENCE OF AUTOANTIBODY ALONG WITH CLINICAL SIGNS AND SYMPTOMS ARE USUALLY HIGHLY SUGGESTIVE OF MYASTHENIA GRAVIS. ACETYLCHOLINE RECEPTOR AUTOANTIBODY CAN ALSO OCCUR IN THE PRESENCE OF AUTOANTIBODIES TO OTHER BODY SUBSTANCES.",N,1
FMT,"Warmer, Infant Radiant",2,HO,General Hospital,880.5130,,N,1
QMZ,Digital Therapy Device To Reduce Sleep Disturbance For Psychiatric Conditions,2,NE,Neurology,882.5705,A digital therapy device to reduce sleep disturbance for psychiatric conditions is a prescription device that is intended to provide stimulation using a general purpose computing platform to reduce sleep disturbance in patients who experience this symptom due to psychiatric conditions such as nightmare disorder or post traumatic stress disorder (PTSD).,N,1
OCR,Lung Sound Monitor,2,CV,Cardiovascular,870.1875,The lung sound monitor is intended for use in monitoring and recording lung sounds.,N,4
ONG,Powered Laser Surgical Instrument With MicrobeamFractional Output,2,SU,"General, Plastic Surgery",878.4810,"A LASER (Light Amplification by Stimulated Emission of Radiation) based device having coherence, collimated and typically monochromatic radiation. The laser output is in form of tiny beams in micro range. Typically, indicated to be used in medical specialties of general and plastic surgery and of dermatology/aesthetic to destroy, remove or coagulate tissue, generally soft tissue.  Indication for Use can be general and/or specific. The classification regulation 21 CFR 878.4810  describes a device that is carbon dioxide or argon laser intended to cut, destroy, remove or coagulate tissue by the light.",N,1
CDG,Chromatography Separation/Zimmerman 17-Ketogenic Steroids,1,CH,Clinical Chemistry,862.1385,,N,4
LBS,"Ldl & Vldl Precipitation, Cholesterol Via Esterase-Oxidase, Hdl",1,CH,Clinical Chemistry,862.1475,,N,4
